#ops,ops/sec,mb/sec,us/op,ms/op
417,41.659,38.5,0,0.0
417,41.659,41.7,0,0.0
386,38.558,38.6,0,0.0
377,37.663,37.7,0,0.0
393,39.261,39.3,0,0.0
391,39.061,39.1,0,0.0
391,39.061,39.1,0,0.0
384,38.362,38.4,0,0.0
384,38.362,38.4,0,0.0
391,39.062,39.1,0,0.0
394,39.361,39.4,0,0.0
403,40.261,40.3,0,0.0
376,37.563,37.6,0,0.0
389,38.861,38.9,0,0.0
386,38.562,38.6,0,0.0
,,,,
390,38.962,39.0,0,0.0
395,39.461,39.5,0,0.0
391,39.061,39.1,0,0.0
386,38.562,38.6,0,0.0
391,39.061,39.1,0,0.0
393,39.261,39.3,0,0.0
392,39.161,39.2,0,0.0
394,39.361,39.4,0,0.0
382,38.162,38.2,0,0.0
387,38.661,38.7,0,0.0
387,38.662,38.7,0,0.0
391,39.061,39.1,0,0.0
386,38.562,38.6,0,0.0
404,40.360,40.4,0,0.0
391,39.061,39.1,0,0.0
398,39.761,39.8,0,0.0
390,38.961,39.0,0,0.0
385,38.462,38.5,0,0.0
390,38.962,39.0,0,0.0
390,38.962,39.0,0,0.0
384,38.362,38.4,0,0.0
392,39.161,39.2,0,0.0
386,38.562,38.6,0,0.0
386,38.562,38.6,0,0.0
393,39.261,39.3,0,0.0
374,37.363,37.4,0,0.0
385,38.462,38.5,0,0.0
389,38.862,38.9,0,0.0
402,40.160,40.2,0,0.0
386,38.562,38.6,0,0.0
398,39.760,39.8,0,0.0
387,38.662,38.7,0,0.0
398,39.761,39.8,0,0.0
385,38.462,38.5,0,0.0
391,39.061,39.1,0,0.0
396,39.561,39.6,0,0.0
388,38.761,38.8,0,0.0
394,39.361,39.4,0,0.0
380,37.963,38.0,0,0.0
402,40.160,40.2,0,0.0
394,39.361,39.4,0,0.0
377,37.663,37.7,0,0.0
392,39.161,39.2,0,0.0
389,38.861,38.9,0,0.0
